id,editor,starring,title,writer
14311,,Anna Maria Pierangeli James Lablache Stewart Franu00E7oise Sorya Dreyfus Stanley Baker Rossana Podestà,Sodom and Gomorrah,Hugo Butler
14312,,Paula Ramona Wright Kenneth Tobey Cecil Kellaway Paul Hubschmid,"The Beast From 20,000 Fathoms",Eugène Lourié Ray Bradbury Louis Morheim Fred Freiberger Robert Smith (film writer)
14313,,,,Atsuko Ishizuka
14314,,Emma Miller (documentary actor) Joann Hochstetler Gerald Yutzy Faron Yoder Velda Bontrager,Devil's Playground,
14315,,Henry DeWitt Carey II,Black and White,William Beaudine
14316,,Shigeru Chiba Takashi Matsuyama Yoshikatsu Fujiki Sue Eaching,,Mamoru Oshii
14317,,Cathy Tyson Michael Caine Robert William Hoskins,Mona Lisa,David Leland
14318,,u5289u798Fu69AE) Maggie Cheung Anita Mui Kenny Bee,The Moon Warriors,Alex Law
14319,,Joe Balogh Keith Van Hoven,,Olga Pehar
14320,,Rajnikanth,,
14321,,Margaret Rutherford Alastair Sim,The Happiest Days of Your Life,John Dighton
14322,,Seymour Schindel Samuel Horwitz Al Thompson Harry Moses Horwitz Virginia Hunter Larry Fine (actor) Philip Van Zandt Vernon Bruce Dent,,
14323,,Eminem Snoop Dogg Ice Cube Dr. Dre,,
14324,,Winifred Greenwood Charlotte Burton Edward Coxen George Field,,
14325,,Cecilia Roth Juan Diego Botto Eusebio Poncela Federico Luppi,Martu00EDn (hache),Adolfo Aristarain Kathy Saavedra
14326,,Gary Leonard Oldman Christian Michael Leonard Hawkins Kevin Norwood Bacon,,Dan Gordan
14327,,,La Fu00EAte espagnole,Louis Delluc
14328,,Robert Loggia James Edgar Belushi Tim O'Malley (actor) Marianne Muellerleile David William Duchovny David Alan Grier John Carroll O'Connor Joely Kim Richardson Amelia Fiona J. Driver William Bronder Eddie Jones (actor),,Don Lake Andrew Stern Samantha Goodman
14329,,Jean-Claude Camille Franu00E7ois Van Varenberg,Wake of Death,
14330,,Amitabh Balbir Raj Kapoor Amjad Khan,,
14331,,Saif Ali Khan Ajay Devgan Manisha B. Koirala,,Anjum Rajabali Sanjay Chel
14332,,Mary William Ethelbert Appleton Burke Robert Young Lucille Fay LeSueur Stanislas Pascal Franchot Tone,,Tess Slesinger Bradbury Foote Ferenc Molnar
14333,,Reshat Arbana Timo Flloko,,Vath Koreshi
14334,,Nick De Ruiz Leonidas Frank Chaney Lucille Fay LeSueur Arnold Kaiser,,"Charles Albert Browning, Jr Waldemar Young"
14335,,Pola Illéry Albert Préjean,Under the Roofs of Paris,Renu00E9 Clair
14336,,William Edgar Buchanan Don Castle Rex Bell Mary Frances Gifford Ernst Carlton Brimmer,"Tombstone, the Town Too Tough to Die",Albert S. Le Vino Edward E. Paramore Jr. Charles Reisner Dean Riesner
14337,,Sally Forrest William Henry Pratt Charles Laughton,,Robert Louis Stevenson
14338,,Dean Martin Inger Stensland Robert Mitchum,5 Card Stud,Ray Gaulden
14339,,Harold Lloyd,Luke's Movie Muddle,
14340,,Om Prakash Nadira (actress) Vikram Rita Bhaduri Utpal Dutt Laxmi (actress),,Inder Raj Anand Raj Baldev Raj
14341,,Kamal Haasan,,
14342,,Walter Davis Pidgeon Joan Boniface Winnifrith George William Crisp Roderick Andrew Anthony Jude McDowall Maureen FitzSimons,Academy Award for Best Picture How Green Was My Valley,Richard Llewellyn Philip Dunne
14343,,Phil Vischer Mike Nawrocki,,
14344,,Geraldine Farrar,The Devil-Stone,Jeanie MacPherson
14345,,Petr Shelokhonov,,Valentin Ezhov
14346,,George Rose (actor) Kent Taylor Petula Clark,Track the Man Down,Paul Erickson
14347,,Jean Tafler Richard Lee Porter Elissa Neil Charles George Hildebrandt John Schmerling Karen Tighe Ethel Michelson Tom DeFranco James Brewster,Return of the Aliens: The Deadly Spawn,Douglas McKeown
14348,,Kamal Haasan,,
14349,,"Mike Block
Mina Block
Carol Block
Doug Block",,Amy Seplin
14350,,,,Tony Gatlif
14351,,Harry Brodribb Irving Dorothea Forster Baird Alice Young,Princess Clementina,A.E.W. Mason George Pleydell Bancroft
14352,,Alice MacGraw Patrick Ryan O'Neal,Love Story,Erich Segal
14353,,Zhang Ziyi Jung Woo-sung Ahn Sung-ki Ju Jin-mo,Musa,Kim Seong-soo
14354,,Yashar Nuri Fuad Poladov David Uplisashvili Haji Ismayilov,,Rustam Ibrahimbeyov
14355,,"Adam Arkin Roz Kelly Edward Peter Leo McMahon, Jr.",Full Moon High,Larry Cohen
14356,,Errol Leslie Thomson Flynn Gladys Smith,,W. R. Burnett Alan Le May
14357,,Vijaya Nirmala Gattamaneni Krishna,,Tripuraneni Maharadhi
14358,,Henry William George Lupino,His Private Life,Roscoe Arbuckle
14359,,Woodrow Tracy Harrelson,,Solomon Vesta
14360,,Bradford Claude Dourif,The Wild Blue Yonder,Werner Stipetiu0107
14361,,"Anne Celeste Heche Bruno Giovanni Quidaciolu, Jr. John Christopher Depp II Alfredo James Pacino Michael Madsen",Donnie Brasco,Paul Attanasio
14362,,,The King is Alive,
14363,,Hung Kam-Bo Fung Hark-on Casanova Wong James Tien (actor) Chen Sing,,Ching Pro Hung Huang Feng Yu Ting
14364,,Gabriela Mayano Alejandro Baratelli Mirta Fratinni,,Sergio Mazza
14365,,Helmut Berger Gert Fröbe Rosemarie Magdalena Albach-Retty Marc Porel Silvana Mangano Trevor Howard,,Luchino Visconti di Modrone Enrico Medioli Suso Cecchi d'Amico
14366,,Tony Randall James Scott Bumgarner Marilyn Pauline Novak,Boys' Night Out,Arne Sultan Ira Wallach (writer) Marvin Worth
14367,,Anna Maria Louisa Italiano Lady Jayne Seymour Fonda Margaret E. Chan,Agnes of God,John Pielmeier
14368,,Chan Jo-Ming (u9673u7956u660E) Tse Ting-Fung (u8B1Du9706u92D2) Wu Jing (actor) Shawn Yue,,"Benny Chan
Rams Ling
Melody Lui"
14369,,Kamal Haasan Bhanurekha Ganesan Roshini,,
14370,,Shin Ha-kyun Kang Hye-jeong Jeong Jae-yeong Seo Jae Kyung,,Park Heung-shik Song Hye-jin
14371,,Haikal Zakaria Abdoulaye Ahmat,,Ismael Ben-Cherrif Pierre Guillaume
14372,,"Romuald Joubu00E9
Su00E9verin-Mars",,Abel Gance
14373,,,King Uncle,
14374,,Jason Durr Sophie Okenedo Frances Barber,,Paul Hallam Isaac Julien
14375,,Adrienne Jo Barbeau Mary Laurence Hutton David Birney,,John Howard Carpenter
14376,,Jonathan Rhys-Meyers Saskia Reeves,The Tesseract The Tessaract,Alex Garland Patrick Neate
14377,,Apasiri Nitibhon Bird McIntyre,Khu gam Sunset at Chaophraya,Thommayanti
14378,,William Henry Pratt Ralph Byrd,Dick Tracy Meets Gruesome,Chester Gould William Graffis Robert E. Kent
14379,,Doug Jones (actor) Reggie Bannister (actor) Chris Staviski,Carnies,"Ron Leming
John B. Nash"
14380,,Gower Champion Marjorie Celeste Belcher Mary Frances Reynolds,Give a Girl a Break,Vera Caspary Frances Goodrich Albert Hackett
14381,,Ken Lyle Hannah Marks Jared Kusnitz,Doll Graveyard,August White
14382,,Kestie Morassi John Jarratt Cassandra Magrath Nathan Phillips (actor),Wolf Creek,Greg McLean
14383,,Dave England Preston Lacy Jason Bryant Acuu00F1a Ehren McGhehey Ryan Dunn Philip John Clapp Christopher Andrew Pontius Steve-O Bam Margera,Jackass: Number Two,Jeff Tremaine
14384,,Kenneth Dollins Jerome Lester Horwitz Samuel Horwitz Dudley Dickerson Harry Moses Horwitz Larry Fine (actor) Heinie Conklin Vernon Bruce Dent,,
14385,,Bentley Mitchum Daniel Cerny Tracy Scoggins,,David S. Goyer
14386,,Ingrid Bergman Harry Lillis Crosby,The Bells of St. Mary's,Dudley Nichols Thomas Leo McCarey
14387,,Thomas Roy Skerritt Gordon Pinsent Edna Rae Gillooly,Silence of the North,
14388,,Jane Alice Peters Chester Morris,,Charles Francis Coe Sam Spewak Bella Spewak
14389,,Marion Robert Morrison Ben Johnson Geoffrey Jacob Deuel Forrest Tucker,Chisum,Andrew J. Fenady
14390,,Lee Ann Remick David Paul Scofield Joseph Cheshire Cotten Kate Daphne Reid Katharine Hepburn,A Delicate Balance,Edward Albee
14391,,Fayeh Hmaissé Carlos Chahine May Sahab Raymond Hosni Raia Haidar Aouni Kawas,Le dernier homme,Ghassan Salhab
14392,,Jeffrey Skilling Andrew Fastow Robert Peter Cohon Gray Davis Kenneth Lay,Enron: The Smartest Guys in the Room,Bethany McLean
14393,,Edward Albert Heimberger Eldred Gregory Peck Deborah Jane Kerr-Trimmer,Beloved Infidel,Sheilah Graham Sy Bartlett
14394,,Sanjay Khan Hema Malini Shatrughan Sinha,,
14395,,Diane Spodarek Jeff Pucillo Talia Rubel Adam Plotch,Red Cockroaches,Miguel Coyula
14396,,Donald Sinden Lewis Ernest Watts Mills John Gregson,Above Us the Waves,
14397,,Julia Caba Alba José María Rodero Antonio Vico Josette Arno Irene Caba Alba José Luis López Vázquez Jorge Vico,Novio a la vista,José Luis Colina Juan Antonio Bardem Edgar Neville
14398,,Hung Kam-Bo Ti Lung Margaret Denise Quigley Vanness Wu u5289u798Fu69AE) u5B89u5FD7u6770 / Andy On,,Romance of the Three Kingdoms Luo Guanzhong
14399,,Nassar(actor) Janagaraj (actor) Arvind Swamy,Indira,Suhasini Mani Ratnam Mani Ratnam
14400,,Oliver Hardy Billy West (silent film actor),The Rogue,Grace Gershon
14401,,David William Duchovny Lucy Davis Ioan Gruffudd Fran Kranz Judy Greer Lindsay Sloane Leikin Susan Alexandra Weaver Justine Bateman,,Jake Kasdan
14402,,Walter Houghston Lucille Fay LeSueur,Rain,Maxwell Anderson John Colton W. Somerset Maugham Clemence Randolph
14403,,Brad Spoylt Zachary Gordon Bradford Simonsen Jeffrey Michael Tambor Jeff Wolverton,,Cody Cameron
14404,,Ana Maru00EDa Casanova Emilio Disi,,Salvador Valverde Calv
14405,,,20000 lieues sous les mers,Jules Verne
14406,,La Raine Johnson Wallace Fitzgerald Beery Ronald Reagan Lionel Herbert Blythe,The Bad Man,"Porter Emerson Browne (play)
Wells Root"
14407,,Vanessa Redgrave David Hemmings Richard Harris (actor) Francesco Sparanero,Camelot,Alan Jay Lerner The Once and Future King T. H. White
14408,,Matt Keeslar Sophia Myles John Gavin Malkovich Max Minghella Jim Broadbent,Art School Confidential,Daniel Clowes
14409,,Arthur Stanley Jefferson,Do You Love Your Wife?,
14410,,Robyn Hilton George 'Buck' Flower,Video Vixens,Joel Gross
14411,,Sacha Tarter Trevor Sather Susannah Yolande Fletcher,The Gigolos,Trevor Sather Sacha Tarter
14412,,,Columbia Pictures Serial (film),
14413,,Petro Masokha Konstantin Bondarevsky Semyon Shahayda Dmytro Holubynsky,,Alexander Dovzhenko
14414,,Peter Jason Nora Louise Kuzma Adam Grimes Phillip Morris,Frostbite,Steve Rogers (writer) Paul Miller (writer)
14415,,Mary Beth Hughes Louis Feinberg Harry Moses Horwitz Jerome Lester Horwitz,Rockin' in the Rockies,"Gail Davenport (Story)
Louise Rousseau (Story)
J. Benton Cheney
John Grey"
14416,,,,Takao Aoki
14417,,Harold Lloyd,Bughouse Bellhops,
14418,,Heydon Prowse Margaret Natalie Smith Andrew Knott Kate Elizabeth Cameron Maberly,The Secret Garden,Caroline Thompson Frances Hodgson Burnett
14419,,Safar Ali Moradi Homayon Ershadi Abdolrahman Bagheri Afshin Khorshid Bakhtiari,Ta'm e guilass Palme d'Or,Abbas Kiarostami
14420,,Richard Bright (actor) Dorsey Wright Annie Golden Donnie Dacus Beverly D'Angelo Cheryl Barnes John Youngs Treat Williams,Hair,James Rado Gerome Ragni
14421,,,Memories,Otomo Katsuhiro Kon Satoshi
14422,,Catriona MacColl,,Riyoko Ikeda
14423,,Parker Christian Posey Michael Gunther Craig Chester,,Jim Dwyer Dennis Cooper George LaVoo
14424,,Lena Maria Jonna Olin Paul McGann Aaliyah Marguerite C. Moreau Vincent Perez Stuart Townsend,Queen of the Damned,Anne Rice Michael Petroni Scott Abbott
14425,,Ryan James Pinkston Jared Drake Bell Andrew Caldwell,College,"Dan Callahan
Adam Ellison"
14426,,Liz Torres Richard Anthony Marin Edward James Olmos,A Million to Juan,Mark Twain
14427,,Eduardo Noriega Gu00F3mez José Coronado Mélanie Doutey,El Lobo,
14428,,Hillary Brooke Douglass Dumbrille Leslie Townes Hope Mary Leta Dorothy Slaton Harry Lillis Crosby Robert Benchley,Road to Utopia,Melvin Frank Norman Panama
14429,,Anant Jog Sandhya Mridul Arshad Warsi Prashant Narayanan,Waisa Bhi Hota Hai Part II,Shashanka Ghosh
14430,,Ruth Elizabeth Davis Lillian Diana Gish,,David Berry
14431,,Elvis Presley,Elvis: Aloha from Hawaii,
14432,,Ice Cube Mike Epps,All about the Benjamins,Ronald Lang Ice Cube
14433,,Jessica Phyllis Lange Tom Wilkinson,Normal,Jane Anderson
14434,,Michel Blanc Johan Libéreau Julie Depardieu Emmanuelle Bu00E9hart-Hasson,,Andru00E9 Tu00E9chinu00E9
14435,,Samuel Leroy Jackson,The Caveman's Valentine,George Dawes Green
14436,,Luana Walters Bela Lugosi Tristram Coffin,,Lew Porter Johnny Lange
14437,,Jaya Bhaduri Kay Kay Menon Abhishek Bachchan Priyanka Chopra,Drona,Goldie Behl Jaydeep Sarkar
14438,,Claire Stansfield Lance Henriksen Antonino Giovanni Ribisi John Diehl Natasha Gregson Wagner,,Phil Mittleman
14439,,Arthur Stanley Jefferson,Twins,Tay Garnett
14440,,Jonathan Welsh Harvey Atkin James Eugene Carrey,All in Good Taste,Rick Green
14441,,Nancy Mueller Ashley Johnson Jeremy James Miller Tracey Gold Joanna Kerns Alan Thicke Kirk Thomas Cameron,,
14442,,Gordon Liu,Return of the Master Killer Return to the 36th Chamber,Ni Kuang
14443,,Sarah Jessica Parker Jonathan Silverman Morgan Woodward Ed Lauter Helen Elizabeth Hunt,Girls Just Want to Have Fun,Amy Spies
14444,,Amrita Singh Jackie Shroff Juhi Chawla Saaed Jaffrey,,Honey Irani
14445,,Dana Elaine Owens John William Ferrell Tony Hale Dustin Lee Hoffman Maggie Ruth Gyllenhaal Emma Thompson,Stranger than Fiction,Zach Helm
14446,,,Dedication,
14447,,James Stewart (actor) Gladys Georgianna Greene Lionel Herbert Blythe,Academy Award for Best Picture You Can't Take It with You,George S. Kaufman Robert Riskin Moss Hart
14448,,Kevin Spacey Fowler Jude Law John Paul Cusack,Midnight in the Garden of Good and Evil,John Berendt John Lee Hancock
14449,,Zeenat Aman Premnath Harikishen Goswami Amitabh Bachchan Moushmi Chatterjee Balbir Raj Kapoor,,Harikishen Goswami
14450,,David James Arquette Joshua Aaron Charles Joseph Alberic Fiennes Robin Tunney Brad Hunt Julianna Luisa Margulies Winona Laura Horowitz Lukas Daniel Haas Christopher Shannon Penn Juliette Lewis Judah Friedlander D.B. Sweeney Wilmer Valderrama,The Darwin Awards,Finn Taylor
14451,,Emily Fitzroy Sammy White Harold Clifford Keel Gower Champion Ava Lavinia Gardner William Warfield Otis Harlan Paul LeRoy Bustill Robeson Allan Jones (actor) Helen Westley Queenie Smith Kathryn Grayson Agnes Robertson Moorehead Joseph Schildkraut Helen Morgan Laura La Plant Charles Winninger Marjorie Celeste Belcher Irene Marie Dunn Joe E. Brown Hattie McDaniel,,Charles Kenyon Oscar Hammerstein II Edna Ferber John Lee Mahin
14452,,Aoua Sangare Niamanto Sanogo Issiaka Kane,Jury Prize (Cannes Film Festival),Souleymane Cissé
14453,,Phil Vischer Mike Nawrocki,,"Tim Hodge,
Robert G. Lee"
14454,,Sadaho Maeda Ayumi Kinoshita Yasuaki Kurata,,Mao Aoki Kenji Tanigaki
14455,,Oliver Hardy,Hop to It!,Ted Burnsten
14456,,Lisa Flanagan Marcus Graham Roy Billing,Spike Up,Anthony Theo Maras
14457,,Cüneyt Ark?n,,Remzi Ayd?n Jöntürk
14458,,"Fred Halsted
Richard Locke",,
14459,,Robert Forster Hanne Karen Blarke Bayer Franu00E7oise Sorya Dreyfus Derek Jules Gaspard Ulric Niven van den Bogarde,,Lawrence B. Marcus Andrew Sarris Lawrence Durrell
14460,,Asia Aria Anna Maria Vittoria Rossa Argento Coralina Cataldi-Tassoni,,Dario Argento Dardano Sacchetti Lamberto Bava
14461,,Aída Alberti Orestes Caviglia,,Emilio Villalba Welsh
14462,,"Jack Palance,
Donald Pleasence,
Martin Landau",,Jack Sholder
14463,,Mabel Normand Roscoe Arbuckle Keystone Cops,A Noise from the Deep,
14464,,Louise Schultz Holly Bane John Compton Tristram Coffin Howard Harold Ravenscroft Tom London Edmund Cobb Clayton Moore,Serial (film) Jesse James Rides Again Republic Pictures,Franklin Adreon Sol Shor Basil Dickey Jesse Duffy
14465,,David Abraham Cheulkar Nana Palsikar Dilip Roy,Shehar Aur Sapna,Khwaja Ahmad Abbas
14466,,Charlie Trairat Chintara Sukapatana,Dek hor,"Chollada Teaosuwan
Vanridee Pongsittisak
Songyos Sugmakanan"
14467,,Harold Lloyd,Lonesome Luke's Honeymoon,
14468,,Günther Behnisch Hans Kollhoff Renzo Piano I. M. Pei Rem Koolhaas Helmut Jahn,Berlin Babylon,Hubertus Siegert
14469,,Harry Nilsson Ringo Starr,Son of Dracula,Jennifer Jayne
14470,,Ethan Green Hawke Edward Bridge Danson III Kevin Spacey Fowler Katherine Whitton Baker Olympia Dukakis John Uhler Lemmon III,Dad,William Wharton Gary David Goldberg
14471,,Tommy Dorsey Jimmy Dorsey Martha Jane Lafferty,,Curtis Kenyon Art Arthur Richard English
14472,,John Stephen Goodman Patrick J. Warburton Eartha Mae Keith David Wayne Spade,,Chris Williams Mark Dindal David Reynolds
14473,,Michael Caine Julia Mary Walters,BAFTA Award for Best Film Educating Rita,Willy Russell
14474,,Jay Wong James Marks Sandra Lee (actress) James Quedado,,David Lewis (screenwriter)
14475,,Amrita Singh Divya Om Prakash Bharti Ayesha Jhulka Kamal Sadanah Jeetendra,,Rumi Jaffrey
14476,,Chet Brandenburg Edna Marion Arthur Stanley Jefferson Oliver Hardy Sam Lufkin Edgar Kennedy Lyle Tayo Jack Hill Viola Richard Dorothy Coburn Charlie Hall Kay Deslys,Should Married Men Go Home?,H.M. Walker James Parrott Thomas Leo McCarey
14477,,Lilliane Rudabet Gloria Elsveta Sobieski Stellan Skarsgård Diane Lane Trevor Morgan,The Glass House,Wesley Strick
14478,,"Charles Robert Redford, Jr. Charles Durning Robert Shaw (actor) Paul Leonard Newman",The Sting Academy Award for Best Picture,David S. Ward
14479,,Kenny Ortega Miley Cyrus Jonas Brothers Billy Ray Cyrus,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,
14480,,Claire Meade Kernan Cripps Howard Harold Ravenscroft Virginia Pound LeRoy Mason Kirk Alyn,Serial (film) Daughter of Don Q Republic Pictures,Lynn Perkins Basil Dickey Albert DeMond Jesse Duffy
14481,,Archibald Alec Leach Dana James Hutton Samantha Eggar,Walk Don't Run,Robert Russell Frank Ross
14482,,Julia Elizabeth Wells James Scott Bumgarner Robert Preston Meservey,Victor/Victoria,"Blake Edwards
Hans Hoemburg
Reinhold Schu00FCnzel (1933 script)"
14483,,Michael O'Keefe Grant Tilly Jenny Seagrove Tommy Lee Jones Max Phipps Bruce Allpress,Nate and Hayes,John Hughes (film director) David Odell
14484,,Laura Linney Hiroyuki Shimosawa Omar Metwally Philip Anthony Hopkins Charlotte Gainsbourg Alexandra Plu0103tu0103reanu Kate Burton,,Peter Cameron (writer) Ruth Prawer Jhabvala
14485,,Malcolm McLaren Irene Handl Steve Jones (musician) Sid Vicious Johnny Rotten Glen Matlock Paul Cook Mary Quilter,,Julien Temple
14486,,Simon Callow Susan Abigail Tomalin David Wheeler Paul Terry (actor) Miriam Margolyes Joanna Lamond Lumley Jane Leeves Richard Stephen Dreyfuss,James and the Giant Peach,Karey Kirkpatrick Jonathan Roberts (writer) Steven Bloom Roald Dahl
14487,,Lesley-Anne Down Robert Davi John Amos Frederick Reginald Ironside Mike Starr Mickey Jones,,David A. Prior
14488,,Jacky Cheung Tony Leung Ka Fai u5F35u767Cu5B97 (Cheung Fat Chung) Maggie Cheung Brigitte Lin Tony Leung Chiu Wai,Ashes of Time,Wong Kar-wai
14489,,Rajnikanth,,
14490,,,,Abbas Kiarostami
14491,,Cedric Webster Hardwicke Stanley Baker Jacques Sernas Niall MacGinnis Rossana Podestà,Helen of Troy,Hugh Gray N. Richard Nash John Twist
14492,,"Vincent Leonard Price, Jr. Ian Hendry Enid Diana Elizabeth Rigg",Theatre of Blood,Anthony Greville-Bell
14493,,Stephen Chow Zhao Wei Ng Man Tat Patrick Tse Wong Yat-fei,Shaolin Soccer,
14494,,Jackie Shroff Juhi Chawla Naseeruddin Shah,,Nagesh Kukunoor
14495,,Oliver Hardy,Yaps and Yokels,Noel M. Smith
14496,,Lysiane Meis Faudel Audrey Tautou Nathalie Besançon Eric Savin,,Laurent Firode
14497,,Gisele Lindley The Kipper Kids Joe Spinell Jan Stuart Schwartz Daniel Robert Elfman Gene Cunningham Matthew Bright Viva (Warhol superstar) Susan Tyrrell Hervé Villechaize,Forbidden Zone,Matthew Bright
14498,,Richard Widmark William Holden,Alvarez Kelly,Elliott Arnold Franklin Coen
14499,,Yu Hong Liu Xiaodong,The Days,Wang Xiaoshuai
14500,,"Alexander Draper Wolff Cooper Pillot David Julian Levi Jessica Cook Draper Alexandra Jean DiMeco Nathaniel Marvin Wolff Thomas James Batuello, Jr. Qaasim Asani Malik Seawright-Middleton",,Polly Draper
14501,,u5F35u767Cu5B97 (Cheung Fat Chung) u5289u798Fu69AE) Ning Jing,San seung hoi taan,Matt Chow Sandy Shaw
14502,,Michael Emerson Victor Raider-Wexler Miss Coco Peru Jack Stuart Plotnick Carrie Preston Adam Greer Matt Letscher Veronica Cartwright,Straight-Jacket,Richard Day
14503,,Tia Dashon Mowry Kristen Wilson (actress) Tamera Darvette Mowry,,Daniel Berendsen
14504,,Richard Mulligan Dudley Stuart John Moore Ann Reinking Amy Davis Irving,,Jonathan Reynolds
14505,,Emma Thompson Arnold Schwarzenegger Daniel Michael DeVito Jr.,Junior,Chris Conrad Kevin Wade
14506,,Richard Herd Mark Richard Hamill Benjamin Gu00E9za Affleck James Eckhouse Richard McGonagle,Joseph: King of Dreams,Raymond Singer Marshall Goldberg Eugenia Bostwick-Singer Joe Stillman
14507,,,Le Voyage de Gulliver u00E0 Lilliput et chez les gu00E9ants,Jonathan Swift
14508,,Claude Rich Aurore Clément Jean Rochefort Jacques Dufilho Jacques Simonet,,Jean-François Chauvel
14509,,Chris Burns (porn star),,
14510,,Lee Ann Remick Pamela Tiffin Donald Henry Pleasence Burton Stephen Lancaster Martin Landau John Anderson (actor) Robert Keith Richey Jr. Dana James Hutton,The Hallelujah Trail,John Gay William Gulick
